datetime,close,high,low,open,volume
2026-02-26 12:20:00-05:00,606.4400024414062,606.5499877929688,606.4000244140625,606.47998046875,0
2026-02-26 12:21:00-05:00,606.3400268554688,606.5800170898438,606.239990234375,606.4400024414062,98942
2026-02-26 12:22:00-05:00,606.2999877929688,606.510009765625,606.2301025390625,606.3300170898438,72922
2026-02-26 12:23:00-05:00,606.27001953125,606.4199829101562,606.2100219726562,606.2999877929688,71038
2026-02-26 12:24:00-05:00,606.4500122070312,606.530029296875,606.280029296875,606.2999877929688,38140
2026-02-26 12:25:00-05:00,606.469970703125,606.6699829101562,606.4099731445312,606.4600219726562,22813571
2026-02-26 12:26:00-05:00,606.4199829101562,606.6099853515625,606.3900146484375,606.4650268554688,127975
2026-02-26 12:27:00-05:00,606.4600219726562,606.5349731445312,606.3800048828125,606.4249877929688,0
2026-02-26 12:28:00-05:00,606.4099731445312,606.5999755859375,606.3099975585938,606.469970703125,53127
2026-02-26 12:29:00-05:00,606.52001953125,606.6190185546875,606.39501953125,606.4199829101562,45126
2026-02-26 12:30:00-05:00,606.5900268554688,606.8499755859375,606.4500122070312,606.510009765625,65426
2026-02-26 12:31:00-05:00,606.780029296875,606.8599853515625,606.5599975585938,606.5900268554688,83221
2026-02-26 12:32:00-05:00,607.1900024414062,607.2000122070312,606.7703247070312,606.7899780273438,82456
2026-02-26 12:33:00-05:00,607.239990234375,607.47998046875,607.1099853515625,607.2000122070312,123542
2026-02-26 12:34:00-05:00,607.1099853515625,607.3300170898438,607.0800170898438,607.239990234375,71349
2026-02-26 12:35:00-05:00,606.6749877929688,607.1199951171875,606.6300048828125,607.1199951171875,67835
2026-02-26 12:36:00-05:00,606.3099975585938,606.72998046875,606.2899780273438,606.6699829101562,101343
2026-02-26 12:37:00-05:00,606.010009765625,606.3198852539062,605.9600219726562,606.3099975585938,103536
2026-02-26 12:38:00-05:00,606.1300048828125,606.2000122070312,605.9849853515625,606.0,78187
2026-02-26 12:39:00-05:00,606.2100219726562,606.2999877929688,606.0800170898438,606.114990234375,224685
2026-02-26 12:40:00-05:00,606.219970703125,606.4000244140625,606.0900268554688,606.2100830078125,53595
2026-02-26 12:41:00-05:00,606.0,606.25,606.0,606.22998046875,23569880
2026-02-26 12:42:00-05:00,606.010009765625,606.1799926757812,605.97998046875,606.0150146484375,0
2026-02-26 12:43:00-05:00,606.094970703125,606.1199951171875,605.9199829101562,606.02001953125,44605
2026-02-26 12:44:00-05:00,605.9400024414062,606.1300048828125,605.8900146484375,606.0999755859375,23681023
2026-02-26 12:45:00-05:00,605.9199829101562,606.0399780273438,605.844970703125,605.9400024414062,0
2026-02-26 12:46:00-05:00,605.8900146484375,605.9199829101562,605.760009765625,605.9000244140625,63498
2026-02-26 12:47:00-05:00,605.8200073242188,606.0700073242188,605.760009765625,605.89501953125,23811805
2026-02-26 12:48:00-05:00,605.7949829101562,605.9299926757812,605.7324829101562,605.8099975585938,0
